名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,66,-116.5,1455,,,,,
,,,,,,,,,,67,-149.4,1450,,,,,
,,,,,,,,,,68,-104.3,1459,,,,,
,,,,,,,,,,69,-58.9,1467,,,,,
,,,,,,,,,,70,-117.6,1457,,,,,
,,,,,,,,,,71,-110.9,1459,,,,,
,,,,,,,,,,72,-104.8,1461,,,,,
,,,,,,,,,,73,-157.6,1451,,,,,
,,,,,,,,,,74,-75.3,1467,,,,,
,,,,,,,,,,75,-52.9,1472,,,,,
,,,,,,,,,,76,-77.5,1467,,,,,
,,,,,,,,,,77,-82.8,1466,,,,,
,,,,,,,,,,78,-95.4,1464,,,,,
,,,,,,,,,,79,-29.2,1477,,,,,
,,,,,,,,,,80,-64.8,1471,,,,,
,,,,,,,,,,81,-101.6,1465,,,,,
,,,,,,,,,,82,-91.6,1468,,,,,
,,,,,,,,,,83,-49.1,1476,,,,,
,,,,,,,,,,84,-56.1,1476,,,,,
,,,,,,,,,,85,-90.3,1469,,,,,
,,,,,,,,,,86,-148.8,1459,,,,,
,,,,,,,,,,87,-226.8,1445,,,,,
,,,,,,,,,,88,-218.0,1446,,,,,
,,,,,,,,,,89,-208.4,1449,,,,,
,,,,,,,,,,90,-273.5,1438,,,,,
,,,,,,,,,,91,-241.9,1444,,,,,
,,,,,,,,,,92,-273.6,1438,,,,,
,,,,,,,,,,93,-210.5,1449,,,,,
,,,,,,,,,,94,-221.0,1447,,,,,
,,,,,,,,,,95,-254.3,1441,,,,,
,,,,,,,,,,96,-293.9,1435,,,,,
,,,,,,,,,,97,-323.7,1430,,,,,
,,,,,,,,,,98,-382.9,1420,,,,,
,,,,,,,,,,99,-347.5,1428,,,,,
,,,,,,,,,,100,-405.0,1418,,,,,
,,,,,,,,,,101,-377.8,1423,,,,,
,,,,,,,,,,102,-414.0,1417,,,,,
,,,,,,,,,,103,-428.5,1414,,,,,
,,,,,,,,,,104,-438.9,1413,,,,,
,,,,,,,,,,105,-363.7,1428,,,,,
,,,,,,,,,,106,-394.3,1423,,,,,
,,,,,,,,,,107,-349.5,1431,,,,,
,,,,,,,,,,108,-287.0,1443,,,,,
,,,,,,,,,,109,-324.7,1438,,,,,
,,,,,,,,,,110,-304.2,1442,,,,,
,,,,,,,,,,111,-296.8,1444,,,,,
,,,,,,,,,,112,-307.6,1443,,,,,
,,,,,,,,,,113,-323.7,1440,,,,,
,,,,,,,,,,114,-248.9,1453,,,,,
,,,,,,,,,,115,-327.6,1440,,,,,
,,,,,,,,,,116,-316.0,1442,,,,,
,,,,,,,,,,117,-313.4,1443,,,,,
,,,,,,,,,,118,-324.5,1442,,,,,
,,,,,,,,,,119,-346.7,1438,,,,,
,,,,,,,,,,120,-371.0,1435,,,,,
,,,,,,,,,,121,-422.1,1426,,,,,
,,,,,,,,,,122,-478.0,1416,,,,,
,,,,,,,,,,123,-426.7,1426,,,,,
,,,,,,,,,,124,-484.4,1417,,,,,
,,,,,,,,,,125,-449.7,1423,,,,,
,,,,,,,,,,126,-438.1,1426,,,,,
,,,,,,,,,,127,-345.5,1443,,,,,
,,,,,,,,,,128,-355.2,1441,,,,,
,,,,,,,,,,129,-310.2,1449,,,,,
,,,,,,,,,,130,-321.0,1448,,,,,
,,,,,,,,,,131,-323.3,1448,,,,,
,,,,,,,,,,132,-347.8,1444,,,,,
,,,,,,,,,,133,-403.7,1435,,,,,
,,,,,,,,,,134,-341.2,1447,,,,,
,,,,,,,,,,135,-373.3,1441,,,,,
,,,,,,,,,,136,-380.7,1439,,,,,
,,,,,,,,,,137,-440.2,1429,,,,,
,,,,,,,,,,138,-381.4,1441,,,,,
,,,,,,,,,,139,-417.4,1435,,,,,
,,,,,,,,,,140,-421.0,1435,,,,,
,,,,,,,,,,141,-393.5,1440,,,,,
,,,,,,,,,,142,-360.1,1447,,,,,
,,,,,,,,,,143,-367.7,1447,,,,,
,,,,,,,,,,144,-324.0,1455,,,,,
,,,,,,,,,,145,-324.5,1454,,,,,
,,,,,,,,,,146,-357.3,1449,,,,,
