名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,63 回,,,03,ドラ,110 回,76.39%,4 位,,0,±0,1373,,東1局,-1551,63 回,-97700
総局数,530 回,,,10,役牌,85 回,59.03%,2 位,,1,+5.0,1375,,東2局,-1135,63 回,-71500
通算スコア,-612.4,,,52,赤ドラ,73 回,50.69%,2 位,,2,-49.2,1366,,東3局,+97,61 回,5900
平均スコア,-9.72,,,01,立直,66 回,45.83%,8 位,,3,-61.7,1365,,南1局,-4526,58 回,-262500
レーティング,1345,,,06,ツモ,48 回,33.33%,7 位,,4,-49.6,1369,,南2局,-1587,53 回,-84100
平均順位,2.13 位,,,04,裏ドラ,28 回,19.44%,8 位,,5,-51.4,1370,,南3局,-67,48 回,-3200
1位,13 回,20.6%,,28,混一色,24 回,16.67%,3 位,,6,-106.9,1361,,,,,
2位,29 回,46.0%,,07,平和,20 回,13.89%,8 位,,7,-103.4,1363,,起家,スコア,回数,合計
3位,21 回,33.3%,,02,一発,16 回,11.11%,9 位,,8,-62.8,1371,,東家,-20.37,19 回,-387
1位スコア,+45.05,+585.60,,08,一盃口,14 回,9.72%,5 位,,9,-28.6,1379,,南家,-13.14,26 回,-341.6
2位スコア,-1.40,-40.50,,25,七対子,10 回,6.94%,5 位,,10,+39.0,1392,,西家,+6.46,18 回,116.2
3位スコア,-55.12,-1157.50,,09,タンヤオ,8 回,5.56%,9 位,,11,+37.8,1393,,,,,
バランス,-3.82,,,17,チャンタ,5 回,3.47%,1 位,,12,+40.2,1395,,相手,スコア,回数,合計
ふっとび,11 回,17.5%,,20,三暗刻,5 回,3.47%,3 位,,13,+101.6,1407,,わさび,+13.13,16 回,210.1
リーチ,131 回,24.7%,,22,対々和,5 回,3.47%,5 位,,14,+91.9,1407,,ただ,-11.27,22 回,-248
副露,102 回,19.2%,,13,嶺上開花,2 回,1.39%,1 位,,15,+46.8,1400,,まっつん,-15.82,12 回,-189.8
リーチ成功,63 回,48.1%,,23,小三元,2 回,1.39%,1 位,,16,+2.7,1393,,れんたろう,-18.45,12 回,-221.4
副露成功,49 回,48.0%,,11,海底摸月,1 回,0.69%,6 位,,17,-96.7,1376,,だいち,-21.17,62 回,-1312.7
アガリ,144 回,27.2%,,29,流し満貫,1 回,0.69%,1 位,,18,-154.8,1367,,やがさき,-37.70,2 回,-75.4
放銃,85 回,16.0%,,30,清一色,1 回,0.69%,8 位,,19,-153.8,1368,,,,,
ツモ,66 回,45.8%,,12,河底撈魚,0 回,0.00%,6 位,,20,-201.8,1361,,,,,
ロン,78 回,54.2%,,14,槍槓,0 回,0.00%,3 位,,21,-202.2,1362,,,,,
リーチアガリ,63 回,43.8%,,15,ダブル立直,0 回,0.00%,3 位,,22,-208.0,1363,,,,,
副露アガリ,49 回,34.0%,,16,一気通貫,0 回,0.00%,8 位,,23,-210.5,1364,,,,,
ダマアガリ,32 回,22.2%,,19,三色同刻,0 回,0.00%,1 位,,24,-284.3,1352,,,,,
