,対戦数,,通算スコア,,平均スコア,,レーティング,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最高点,
相関,0.5848,,0.8390,,0.4116,,,,0.3624,,0.4483,,0.2329,,0.2379,,0.1907,,0.4245,,0.2942,,0.4142,,0.5645,,-0.0681,,-0.0334,,-0.2464,,-0.4093,,0.7173,
1位,全体,106 回,だいち,+572.9,やがさき,+25.65,だいち,1809,やがさき,1.50 位,やがさき,50.0%,やがさき,0.0%,やがさき,36.4%,ぱぱ,13.1%,ぱぱ,10529,たかの,-7011,やがさき,0.0%,れんたろう,37.2%,たかの,23.5%,たかの,72.2%,りくと,48.0%,わさび,58.6%,だいち,144300
2位,だいち,99 回,たかの,+161.9,たかの,+10.79,れんたろう,1619,たかの,1.80 位,たかの,46.7%,だいち,26.3%,たかの,34.1%,たかの,14.4%,まっつん,10159,ただ,-8048,ただ,6.7%,まっつん,37.1%,わさび,23.3%,ただ,64.5%,ぱぱ,45.5%,まっつん,55.6%,全体,144300
3位,りくと,63 回,れんたろう,+117.1,ぱぱ,+7.40,全体,1589,ぱぱ,1.87 位,ぱぱ,40.0%,たかの,26.7%,ただ,31.0%,だいち,14.7%,だいち,10062,だいち,-8381,たかの,6.7%,だいち,34.5%,ただ,22.8%,ぱぱ,64.3%,ただ,44.0%,ぱぱ,54.8%,れんたろう,110000
4位,れんたろう,51 回,ぱぱ,+111.0,だいち,+5.79,まっつん,1551,だいち,1.88 位,れんたろう,39.2%,ぱぱ,26.7%,まっつん,30.3%,ただ,15.0%,れんたろう,10033,わさび,-8477,ぱぱ,6.7%,やがさき,31.8%,やがさき,22.7%,やがさき,57.1%,まっつん,41.7%,れんたろう,51.7%,りくと,101300
5位,ただ,45 回,やがさき,+51.3,れんたろう,+2.30,ただ,1545,れんたろう,1.96 位,だいち,38.4%,りくと,33.3%,れんたろう,29.2%,全体,15.7%,全体,9122,全体,-8687,だいち,7.1%,全体,29.6%,りくと,19.2%,れんたろう,55.6%,やがさき,40.0%,たかの,48.9%,たかの,84600
6位,わさび,16 回,全体,-0.0,全体,-0.00,やがさき,1528,全体,2.00 位,まっつん,33.3%,全体,33.3%,ぱぱ,29.0%,まっつん,15.7%,やがさき,8838,まっつん,-8986,まっつん,8.3%,たかの,27.3%,全体,18.7%,全体,55.1%,全体,39.3%,りくと,45.8%,まっつん,83700
7位,たかの,15 回,まっつん,-13.4,まっつん,-1.12,たかの,1502,まっつん,2.08 位,全体,33.3%,れんたろう,35.3%,だいち,29.0%,りくと,16.0%,りくと,8122,れんたろう,-9106,全体,10.4%,わさび,26.3%,れんたろう,18.2%,だいち,53.3%,だいち,38.4%,全体,45.6%,ただ,83400
8位,ぱぱ,15 回,ただ,-90.3,ただ,-2.01,わさび,1452,ただ,2.11 位,ただ,31.1%,まっつん,41.7%,全体,29.0%,れんたろう,16.3%,ただ,7870,りくと,-9352,わさび,12.5%,ぱぱ,26.2%,だいち,16.7%,まっつん,51.5%,たかの,32.3%,だいち,41.4%,ぱぱ,79900
9位,まっつん,12 回,わさび,-298.1,りくと,-9.72,ぱぱ,1423,りくと,2.13 位,りくと,20.6%,ただ,42.2%,りくと,27.2%,やがさき,18.2%,たかの,7736,やがさき,-9475,れんたろう,13.7%,りくと,24.7%,まっつん,13.5%,わさび,51.4%,れんたろう,30.7%,ただ,41.1%,やがさき,69600
10位,やがさき,2 回,りくと,-612.4,わさび,-18.63,りくと,1345,わさび,2.38 位,わさび,18.8%,わさび,56.3%,わさび,21.8%,わさび,23.3%,わさび,7679,ぱぱ,-10257,りくと,17.5%,ただ,19.0%,ぱぱ,10.3%,りくと,48.1%,わさび,25.8%,やがさき,12.5%,わさび,56300
