名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,85 回,,,05,ガリ,118 回,88.72%,7 位,,0,±0,,東1局,-968,85 回,-82300
総局数,660 回,,,03,ドラ,94 回,70.68%,7 位,,1,+68.2,,東2局,-3074,80 回,-245900
通算スコア,-559.0,,,10,役牌,78 回,58.65%,5 位,,2,+58.5,,東3局,-1090,72 回,-78500
平均スコア,-6.58,,,01,立直,62 回,46.62%,10 位,,3,+82.1,,南1局,-557,69 回,-38400
平均順位,2.21 位,,,06,ツモ,43 回,32.33%,4 位,,4,+57.7,,南2局,-1555,58 回,-90200
1位,19 回,22.4%,,02,一発,20 回,15.04%,4 位,,5,+123.7,,南3局,-887,47 回,-41700
2位,29 回,34.1%,,04,裏ドラ,19 回,14.29%,12 位,,6,+125.2,,,,,
3位,37 回,43.5%,,07,平和,17 回,12.78%,8 位,,7,+129.0,,起家,スコア,回数,合計
ふっとび,16 回,18.8%,,28,混一色,11 回,8.27%,11 位,,8,+96.5,,東家,-8.55,38 回,-325
ふっとばし,10 回,11.8%,,08,一盃口,10 回,7.52%,10 位,,9,+82.8,,南家,-5.71,23 回,-131.3
逆転,4 回,4.7%,,09,タンヤオ,7 回,5.26%,4 位,,10,+110.5,,西家,-4.28,24 回,-102.7
リーチ,131 回,27.3%,,16,一気通貫,5 回,3.76%,4 位,,11,+71.6,,,,,
副露,136 回,28.3%,,25,七対子,5 回,3.76%,12 位,,12,+33.6,,相手,スコア,回数,合計
リーチ成功,64 回,48.9%,,20,三暗刻,4 回,3.01%,6 位,,13,+13.3,,まっつん,+26.95,6 回,161.7
副露成功,50 回,36.8%,,17,チャンタ,3 回,2.26%,4 位,,14,+4.8,,ただ,+6.79,37 回,251.2
アガリ,184 回,27.9%,,22,対々和,2 回,1.50%,11 位,,15,-33.7,,れんたろう,-0.35,19 回,-6.7
ツモ,88 回,47.8%,,13,嶺上開花,1 回,0.75%,2 位,,16,-45.3,,いっしー,-16.33,3 回,-49
ロン,96 回,52.2%,,15,ダブル立直,1 回,0.75%,3 位,,17,-45.0,,だいち,-17.16,68 回,-1166.7
放銃,126 回,19.1%,,11,海底摸月,0 回,0.00%,7 位,,18,-30.3,,りくと,-22.35,22 回,-491.6
連続アガリ,4 回,0 回,,12,河底撈魚,0 回,0.00%,6 位,,19,+17.7,,やがさき,-24.99,15 回,-374.9
連続無放銃,26 回,4 回,,14,槍槓,0 回,0.00%,1 位,,20,-24.1,,,,,
平均アガリ点,8946,1646100,,18,三色同順,0 回,0.00%,1 位,,21,-29.6,,,,,
平均放銃点,-9652,-1216100,,19,三色同刻,0 回,0.00%,3 位,,22,-4.7,,,,,
最大ドラ数,6 個,,,21,三槓子,0 回,0.00%,1 位,,23,-18.6,,,,,
最大点数,103200,,,23,小三元,0 回,0.00%,5 位,,24,-26.9,,,,,
チョンボ,2 回,0.3%,,24,混老頭,0 回,0.00%,6 位,,25,-37.9,,,,,
new局数,480 回,,,26,二盃口,0 回,0.00%,5 位,,26,-59.8,,,,,
newアガリ,133 回,,,27,純チャン,0 回,0.00%,3 位,,27,-53.7,,,,,
,,,,29,流し満貫,0 回,0.00%,4 位,,28,-53.1,,,,,
,,,,30,清一色,0 回,0.00%,10 位,,29,-12.9,,,,,
,,,,31,国士無双,0 回,0.00%,7 位,,30,-48.6,,,,,
,,,,32,四暗刻,0 回,0.00%,6 位,,31,-64.6,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,32,-70.4,,,,,
,,,,34,大三元,0 回,0.00%,3 位,,33,-122.3,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-134.3,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,35,-100.9,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,36,-106.5,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,37,-133.5,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,38,-128.3,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,39,-136.0,,,,,
,,,,41,天和,0 回,0.00%,1 位,,40,-151.0,,,,,
,,,,42,地和,0 回,0.00%,1 位,,41,-201.6,,,,,
,,,,43,人和,0 回,0.00%,1 位,,42,-196.8,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,43,-242.3,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,3 位,,44,-243.4,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,45,-280.6,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,46,-321.9,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,47,-326.1,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-386.4,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,-402.3,,,,,
,,,,,,,,,,50,-396.3,,,,,
,,,,,,,,,,51,-417.3,,,,,
,,,,,,,,,,52,-421.3,,,,,
,,,,,,,,,,53,-451.7,,,,,
,,,,,,,,,,54,-445.1,,,,,
,,,,,,,,,,55,-465.6,,,,,
,,,,,,,,,,56,-502.6,,,,,
,,,,,,,,,,57,-533.3,,,,,
,,,,,,,,,,58,-573.3,,,,,
,,,,,,,,,,59,-550.8,,,,,
,,,,,,,,,,60,-535.3,,,,,
,,,,,,,,,,61,-492.3,,,,,
,,,,,,,,,,62,-511.9,,,,,
,,,,,,,,,,63,-524.1,,,,,
,,,,,,,,,,64,-535.9,,,,,
,,,,,,,,,,65,-494.6,,,,,
,,,,,,,,,,66,-483.2,,,,,
,,,,,,,,,,67,-466.7,,,,,
,,,,,,,,,,68,-462.0,,,,,
,,,,,,,,,,69,-472.6,,,,,
,,,,,,,,,,70,-466.8,,,,,
,,,,,,,,,,71,-446.7,,,,,
,,,,,,,,,,72,-471.8,,,,,
,,,,,,,,,,73,-486.2,,,,,
,,,,,,,,,,74,-520.2,,,,,
,,,,,,,,,,75,-493.7,,,,,
,,,,,,,,,,76,-475.7,,,,,
,,,,,,,,,,77,-517.2,,,,,
,,,,,,,,,,78,-519.0,,,,,
,,,,,,,,,,79,-481.0,,,,,
,,,,,,,,,,80,-434.2,,,,,
,,,,,,,,,,81,-479.2,,,,,
,,,,,,,,,,82,-517.7,,,,,
,,,,,,,,,,83,-521.5,,,,,
,,,,,,,,,,84,-540.4,,,,,
,,,,,,,,,,85,-559.0,,,,,
